"id","name","code","province_id","created_at","updated_at"
"1","Adams","012801000","1","2023-04-14 04:18:45.252321","2023-04-14 04:18:45.252321"
"2","Bacarra","012802000","1","2023-04-14 04:18:45.267443","2023-04-14 04:18:45.267443"
"3","Badoc","012803000","1","2023-04-14 04:18:45.285320","2023-04-14 04:18:45.285320"
"4","Bangui","012804000","1","2023-04-14 04:18:45.303789","2023-04-14 04:18:45.303789"
"5","City of Batac","012805000","1","2023-04-14 04:18:45.317672","2023-04-14 04:18:45.317672"
"6","Burgos","012806000","1","2023-04-14 04:18:45.332255","2023-04-14 04:18:45.332255"
"7","Carasi","012807000","1","2023-04-14 04:18:45.341880","2023-04-14 04:18:45.341880"
"8","Currimao","012808000","1","2023-04-14 04:18:45.356961","2023-04-14 04:18:45.356961"
"9","Dingras","012809000","1","2023-04-14 04:18:45.378317","2023-04-14 04:18:45.378317"
"10","Dumalneg","012810000","1","2023-04-14 04:18:45.393418","2023-04-14 04:18:45.393418"
"11","Banna","012811000","1","2023-04-14 04:18:45.407193","2023-04-14 04:18:45.407193"
"12","City of Laoag","012812000","1","2023-04-14 04:18:45.430429","2023-04-14 04:18:45.430429"
"13","Marcos","012813000","1","2023-04-14 04:18:45.450499","2023-04-14 04:18:45.450499"
"14","Nueva Era","012814000","1","2023-04-14 04:18:45.477354","2023-04-14 04:18:45.477354"
"15","Pagudpud","012815000","1","2023-04-14 04:18:45.495198","2023-04-14 04:18:45.495198"
"16","Paoay","012816000","1","2023-04-14 04:18:45.506773","2023-04-14 04:18:45.506773"
"17","Pasuquin","012817000","1","2023-04-14 04:18:45.523965","2023-04-14 04:18:45.523965"
"18","Piddig","012818000","1","2023-04-14 04:18:45.536275","2023-04-14 04:18:45.536275"
"19","Pinili","012819000","1","2023-04-14 04:18:45.557915","2023-04-14 04:18:45.557915"
"20","San Nicolas","012820000","1","2023-04-14 04:18:45.579921","2023-04-14 04:18:45.579921"
"21","Sarrat","012821000","1","2023-04-14 04:18:45.599367","2023-04-14 04:18:45.599367"
"22","Solsona","012822000","1","2023-04-14 04:18:45.619529","2023-04-14 04:18:45.619529"
"23","Vintar","012823000","1","2023-04-14 04:18:45.631825","2023-04-14 04:18:45.631825"
"24","Alilem","012901000","2","2023-04-14 04:18:45.649342","2023-04-14 04:18:45.649342"
"25","Banayoyo","012902000","2","2023-04-14 04:18:45.665593","2023-04-14 04:18:45.665593"
"26","Bantay","012903000","2","2023-04-14 04:18:45.688155","2023-04-14 04:18:45.688155"
"27","Burgos","012904000","2","2023-04-14 04:18:45.705615","2023-04-14 04:18:45.705615"
"28","Cabugao","012905000","2","2023-04-14 04:18:45.716979","2023-04-14 04:18:45.716979"
"29","City of Candon","012906000","2","2023-04-14 04:18:45.733109","2023-04-14 04:18:45.733109"
"30","Caoayan","012907000","2","2023-04-14 04:18:45.747666","2023-04-14 04:18:45.747666"
"31","Cervantes","012908000","2","2023-04-14 04:18:45.765380","2023-04-14 04:18:45.765380"
"32","Galimuyod","012909000","2","2023-04-14 04:18:45.789298","2023-04-14 04:18:45.789298"
"33","Gregorio Del Pilar","012910000","2","2023-04-14 04:18:45.800441","2023-04-14 04:18:45.800441"
"34","Lidlidda","012911000","2","2023-04-14 04:18:45.815837","2023-04-14 04:18:45.815837"
"35","Magsingal","012912000","2","2023-04-14 04:18:45.843986","2023-04-14 04:18:45.843986"
"36","Nagbukel","012913000","2","2023-04-14 04:18:45.860935","2023-04-14 04:18:45.860935"
"37","Narvacan","012914000","2","2023-04-14 04:18:45.871030","2023-04-14 04:18:45.871030"
"38","Quirino","012915000","2","2023-04-14 04:18:45.892150","2023-04-14 04:18:45.892150"
"39","Salcedo","012916000","2","2023-04-14 04:18:45.903151","2023-04-14 04:18:45.903151"
"40","San Emilio","012917000","2","2023-04-14 04:18:45.919196","2023-04-14 04:18:45.919196"
"41","San Esteban","012918000","2","2023-04-14 04:18:45.927374","2023-04-14 04:18:45.927374"
"42","San Ildefonso","012919000","2","2023-04-14 04:18:45.942483","2023-04-14 04:18:45.942483"
"43","San Juan","012920000","2","2023-04-14 04:18:45.957839","2023-04-14 04:18:45.957839"
"44","San Vicente","012921000","2","2023-04-14 04:18:45.968919","2023-04-14 04:18:45.968919"
"45","Santa","012922000","2","2023-04-14 04:18:45.976852","2023-04-14 04:18:45.976852"
"46","Santa Catalina","012923000","2","2023-04-14 04:18:45.990155","2023-04-14 04:18:45.990155"
"47","Santa Cruz","012924000","2","2023-04-14 04:18:46.003798","2023-04-14 04:18:46.003798"
"48","Santa Lucia","012925000","2","2023-04-14 04:18:46.014527","2023-04-14 04:18:46.014527"
"49","Santa Maria","012926000","2","2023-04-14 04:18:46.027214","2023-04-14 04:18:46.027214"
"50","Santiago","012927000","2","2023-04-14 04:18:46.037767","2023-04-14 04:18:46.037767"
