"id","name","code","region_id","created_at","updated_at"
"1","Ilocos Norte","012800000","1","2023-04-14 04:17:55.090814","2023-04-14 04:17:55.090814"
"2","Ilocos Sur","012900000","1","2023-04-14 04:17:55.101867","2023-04-14 04:17:55.101867"
"3","La Union","013300000","1","2023-04-14 04:17:55.128076","2023-04-14 04:17:55.128076"
"4","Pangasinan","015500000","1","2023-04-14 04:17:55.142905","2023-04-14 04:17:55.142905"
"5","Batanes","020900000","2","2023-04-14 04:17:55.153091","2023-04-14 04:17:55.153091"
"6","Cagayan","021500000","2","2023-04-14 04:17:55.166053","2023-04-14 04:17:55.166053"
"7","Isabela","023100000","2","2023-04-14 04:17:55.181402","2023-04-14 04:17:55.181402"
"8","Nueva Vizcaya","025000000","2","2023-04-14 04:17:55.202488","2023-04-14 04:17:55.202488"
"9","Quirino","025700000","2","2023-04-14 04:17:55.226127","2023-04-14 04:17:55.226127"
"10","Bataan","030800000","3","2023-04-14 04:17:55.237226","2023-04-14 04:17:55.237226"
"11","Bulacan","031400000","3","2023-04-14 04:17:55.247816","2023-04-14 04:17:55.247816"
"12","Nueva Ecija","034900000","3","2023-04-14 04:17:55.260539","2023-04-14 04:17:55.260539"
"13","Pampanga","035400000","3","2023-04-14 04:17:55.272775","2023-04-14 04:17:55.272775"
"14","Tarlac","036900000","3","2023-04-14 04:17:55.283494","2023-04-14 04:17:55.283494"
"15","Zambales","037100000","3","2023-04-14 04:17:55.300220","2023-04-14 04:17:55.300220"
"16","Aurora","037700000","3","2023-04-14 04:17:55.311740","2023-04-14 04:17:55.311740"
"17","Batangas","041000000","4","2023-04-14 04:17:55.325203","2023-04-14 04:17:55.325203"
"18","Cavite","042100000","4","2023-04-14 04:17:55.336724","2023-04-14 04:17:55.336724"
"19","Laguna","043400000","4","2023-04-14 04:17:55.355190","2023-04-14 04:17:55.355190"
"20","Quezon","045600000","4","2023-04-14 04:17:55.368436","2023-04-14 04:17:55.368436"
"21","Rizal","045800000","4","2023-04-14 04:17:55.380986","2023-04-14 04:17:55.380986"
"22","Marinduque","174000000","5","2023-04-14 04:17:55.398040","2023-04-14 04:17:55.398040"
"23","Occidental Mindoro","175100000","5","2023-04-14 04:17:55.408150","2023-04-14 04:17:55.408150"
"24","Oriental Mindoro","175200000","5","2023-04-14 04:17:55.417354","2023-04-14 04:17:55.417354"
"25","Palawan","175300000","5","2023-04-14 04:17:55.431226","2023-04-14 04:17:55.431226"
"26","Romblon","175900000","5","2023-04-14 04:17:55.449002","2023-04-14 04:17:55.449002"
"27","Albay","050500000","6","2023-04-14 04:17:55.459479","2023-04-14 04:17:55.459479"
"28","Camarines Norte","051600000","6","2023-04-14 04:17:55.473917","2023-04-14 04:17:55.473917"
"29","Camarines Sur","051700000","6","2023-04-14 04:17:55.488498","2023-04-14 04:17:55.488498"
"30","Catanduanes","052000000","6","2023-04-14 04:17:55.497368","2023-04-14 04:17:55.497368"
"31","Masbate","054100000","6","2023-04-14 04:17:55.513556","2023-04-14 04:17:55.513556"
"32","Sorsogon","056200000","6","2023-04-14 04:17:55.526513","2023-04-14 04:17:55.526513"
"33","Aklan","060400000","7","2023-04-14 04:17:55.539855","2023-04-14 04:17:55.539855"
"34","Antique","060600000","7","2023-04-14 04:17:55.553553","2023-04-14 04:17:55.553553"
"35","Capiz","061900000","7","2023-04-14 04:17:55.572926","2023-04-14 04:17:55.572926"
"36","Iloilo","063000000","7","2023-04-14 04:17:55.581774","2023-04-14 04:17:55.581774"
"37","Negros Occidental","064500000","7","2023-04-14 04:17:55.600466","2023-04-14 04:17:55.600466"
"38","Guimaras","067900000","7","2023-04-14 04:17:55.618461","2023-04-14 04:17:55.618461"
"39","Bohol","071200000","8","2023-04-14 04:17:55.635094","2023-04-14 04:17:55.635094"
"40","Cebu","072200000","8","2023-04-14 04:17:55.654358","2023-04-14 04:17:55.654358"
"41","Negros Oriental","074600000","8","2023-04-14 04:17:55.679143","2023-04-14 04:17:55.679143"
"42","Siquijor","076100000","8","2023-04-14 04:17:55.689435","2023-04-14 04:17:55.689435"
"43","Eastern Samar","082600000","9","2023-04-14 04:17:55.701407","2023-04-14 04:17:55.701407"
"44","Leyte","083700000","9","2023-04-14 04:17:55.717779","2023-04-14 04:17:55.717779"
"45","Northern Samar","084800000","9","2023-04-14 04:17:55.727983","2023-04-14 04:17:55.727983"
"46","Samar","086000000","9","2023-04-14 04:17:55.737337","2023-04-14 04:17:55.737337"
"47","Southern Leyte","086400000","9","2023-04-14 04:17:55.753162","2023-04-14 04:17:55.753162"
"48","Biliran","087800000","9","2023-04-14 04:17:55.763016","2023-04-14 04:17:55.763016"
"49","Zamboanga Del Norte","097200000","10","2023-04-14 04:17:55.777801","2023-04-14 04:17:55.777801"
"50","Zamboanga Del Sur","097300000","10","2023-04-14 04:17:55.788755","2023-04-14 04:17:55.788755"
